type,source_ip,packet_count,severity
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
Traffic Anomaly,52.168.117.170,5830,MEDIUM
Traffic Anomaly,52.168.117.170,4386,MEDIUM
